REGION,K-12 SCHOOLS,DIVISION,DATE ANNOUNCED,Earliest Exposure,Earliest + 14 days,Lastest + 14 days,POSSIBLE OUTBREAK,CASES,Total Cases,GRADE LEVELS,DAYS OF EXPOSURE,,,,,,,,,,,,,,,,,,
WINNIPEG,"Island Lakes Community School 
(445 Island Shore Blvd)",LRSD,"October 24, 2020",October 14,October 28,November 16,1,1,4,K-8,,,,,,,,,,,,,,,,,,,
WINNIPEG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WINNIPEG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WINNIPEG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WINNIPEG,"Maples Met School 
(1330 Jefferson Ave)",SOSD,"October 24, 2020?","October 15, 2020","October 29, 2020","October 29, 2020",1,1,1,9-12,,,,,,,,,,,,,,,,,,,
WINNIPEG,"Our Lady of Victory School 
(249 Arnold Avenue)",INDEPENDENT,"October 24, 2020?",October 14,October 28,November 3,1,1,2,K-8,,,,,,,,,,,,,,,,,,,
WINNIPEG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WINNIPEG,"Fort Richmond Collegiate
(99 Killarney Ave)",PTSD,"October 25, 2020",October 14,October 28,November 4,1,1,2,10-12,,,,,,,,,,,,,,,,,,,
WINNIPEG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WINNIPEG,"École Roméo-Dallaire 
(81 Quail Ridge Road)",DSFM,"October 25, 2020",October 14,October 28,"November 9, 2020",1,1,4,K-8,,,,,,,,,,,,,,,,,,,
WINNIPEG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WINNIPEG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WINNIPEG,"Glenelm School
(96 Carmen Ave)",WSD,"October 25, 2020","October 16, 2020","October 30, 2020","October 30, 2020",1,2,2,K-6,,,,,,,,,,,,,,,,,,,
WINNIPEG,"Minnetonka School
(200 Minnetonka St.)",LRSD,"October 25, 2020?",October 13,October 27,November 12,1,1,3,K-8,,,,,,,,,,,,,,,,,,,
WINNIPEG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WINNIPEG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WINNIPEG,"École Viscount Alexander
(810 Waterford Ave)",PTSD,"October 25, 2020","October 19, 2020","November 2, 2020","November 6, 2020",1,1,2,5-8,,,,,,,,,,,,,,,,,,,
WINNIPEG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WINNIPEG,"Transcona Collegiate
(1305 Winona St.)",RETSD,"October 26, 2020","October 19, 2020","November 2, 2020",November 10,1,1,5,9-12,,,,,,,,,,,,,,,,,,,
WINNIPEG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WINNIPEG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WINNIPEG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WINNIPEG,"Gonzaga Middle School
(174 Maple St N)",INDEPENDENT,"October 26, 2020?",October 12,October 26,October 26,0,1,1,6-8,,,,,,,,,,,,,,,,,,,
